Protein	S0	S0	S0	S1	S1	S1	BayesFactor	FoldChange	RBstat	FDR	FLAG
P16104	0	3127500	0	3349700	0	3955800	714580661110988476533542769131520.000	1.960	49999999999999380739261896366628077987922979061760.000	0.00000	
P04406	1882800	1859500	1506300	1979000	2452600	1807200	243467336181116162114980294374231715827994573313530658816.000	0.167	33501522136501663685020336100214486880097235107840.000	0.00000	*
P29590	0	0	0	0	0	0	1.000	0.025	0.048	1.00000	
A5JHP3	3112200	3600800	0	2846600	2778000	1952100	inf	6.211	72435742586630172581045364797251798727594069721088.000	0.00000	
Q92794	0	0	0	0	0	0	1.000	0.025	0.002	1.00000	
A5YM50	5001100	5075900	5510700	1471500	1210600	1314500	inf	-1.370	16995528203565696332490952348560182607962395639808.000	0.00000	
Q14315	145400	0	0	0	0	0	2378.454	-4.262	16666666666666962168450290488880117277286150963200.000	0.00000	
A6NE09	796100	1135000	630400	540350	383290	0	inf	-5.870	69749863796660815608650081119042350758816649314304.000	0.00000	
B4DUT8	0	0	0	0	0	0	1.000	0.025	0.005	1.00000	
P30044	1030700	1131000	549830	365390	264240	416620	8690972816557522946430141842228779455580803761681157272955842134849230536264558015350147094727908220450991430879958125302837583305114593210497703115115277131803627310870117039818568374724773939085209697961225984285704812667955817773049982222336.000	-0.888	36144061311691970653040218103606689745791453495296.000	0.00000	
A6NHL2	0	0	0	0	0	102130	29878.231	4.231	16666666666666962168450290488880117277286150963200.000	0.00000	
Q8NI27	0	0	0	0	0	0	1.000	0.025	0.029	1.00000	
A8K0T9	0	633920	519980	0	0	0	70909196213125.203	-6.296	33333333333333924336900580977760234554572301926400.000	0.00000	
B2R8N1	0	0	0	0	0	86932	0.056	3.820	16666666666666962168450290488880117277286150963200.000	1.00000	
A8K220	4813300	5493500	5461500	2358500	2628700	2571500	inf	-0.734	16667800144865606904098487800760006613576468922368.000	0.00000	
A8K2X8	2850800	2685500	2132900	192000000	240000000	171000000	inf	4.314	53723410301466546689112222798772433124352958922752.000	0.00000	
A8K3K1	0	0	0	0	0	0	1.000	0.025	0.008	1.00000	
A8K4I2	1780900	1763400	2435200	2505700	2418600	1841500	267690271931616615989248.000	0.125	34461131783743819415088489479822025256215588634624.000	0.00000	*
Q99615	0	314930	0	0	0	0	1973.818	-3.860	16666666666666962168450290488880117277286150963200.000	0.00000	
B4DSZ4	753570	709090	853490	432820	607680	719270	59233279183452202669909985651167442189607606667819841368948809584707445186557207767941120.000	-0.321	30629370507868519636463953043467868291240082538496.000	0.00000	*
A8K4Z4	232370	0	0	0	0	0	9.528	-4.289	16666666666666962168450290488880117277286150963200.000	0.00000	
Q59EJ3	1357200	853930	1220600	976420	1042600	1089000	12064.274	-0.061	33333333051715975781370238460158931507025937432576.000	0.00000	*
A8K5T7	0	0	0	0	0	0	1.000	0.025	0.036	1.00000	
Q59EM9	34000000	34200000	40000000	21800000	25700000	18200000	inf	-0.513	67717775303389545052599750218309320172597051129856.000	0.00000	
Q3ZCU9	0	0	0	0	0	0	1.000	0.025	0.030	1.00000	
Q05D08	784750	836410	733370	0	0	0	inf	-6.681	17542995471769469608149044503170400726245701582848.000	0.00000	
Q14240-2	1282200	0	426680	0	0	0	3109251901440.471	-5.992	33333333333333924336900580977760234554572301926400.000	0.00000	
Q59HD4	7939400	8562200	6582200	3950700	4083600	4896600	inf	-0.577	50000000023108933674823478016378642159243370692608.000	0.00000	
Q9UBL6	0	0	198770	0	0	0	0.000	-3.945	16666666666666962168450290488880117277286150963200.000	1.00000	
Q13561-2	0	0	0	0	0	0	1.000	0.025	0.025	1.00000	
A8K9C4	38400000	36700000	22300000	28400000	31900000	25300000	235170260337963722344681533424944005255020175006859828076398694511935488.000	-0.077	83333333333334063151503823429222077994959347122176.000	0.00000	*
A8KAH7	0	0	0	0	0	0	1.000	0.025	0.031	1.00000	
A8KAY2	0	0	0	0	0	0	1.000	0.025	0.007	1.00000	
Q9H2G2	995140	0	0	0	0	0	0.273	-4.331	16666666666666962168450290488880117277286150963200.000	1.00000	
A8MVA2	0	0	0	0	0	0	1.000	0.025	0.009	1.00000	
C9JS35	857630	778960	594680	416270	367050	507520	281959877381486465533098032118699449594148660244845179152212580735709216738581967862409494257057115471225226758030723182272954815840401357804686868855231032944026288390144.000	-0.542	16674501767084654707429774563289012288447435505664.000	0.00000	
A8MXP9	0	0	0	0	0	0	1.000	0.025	0.019	1.00000	
