Protein	S0	S0	S0	S1	S1	S1	BayesFactor	FoldChange	RBstat	FDR	FLAG
P16104	-10	21	-11	21	-13	21	nan	0.000	nan	0.00000	*
P04406	20	20	20	20	21	20	nan	0.000	nan	0.00000	*
P29590	-10	-11	-10	-7	-14	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
A5JHP3	21	21	-12	21	21	20	nan	0.000	nan	0.00000	*
Q92794	-9	-3	-17	-8	-10	-16	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
A5YM50	22	22	22	20	20	20	nan	0.000	nan	0.00000	*
Q14315	17	-13	-10	-9	-11	-9	nan	0.000	nan	0.00000	*
A6NE09	19	20	19	19	18	-15	nan	0.000	nan	0.00000	*
B4DUT8	-11	-10	-13	-8	-3	-15	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P30044	19	20	19	18	18	18	nan	0.000	nan	0.00000	*
A6NHL2	-12	-7	-13	-9	-14	16	nan	0.000	nan	0.00000	*
Q8NI27	-18	-5	-11	-14	-7	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
A8K0T9	-8	19	18	-16	-4	-12	nan	0.000	nan	0.00000	*
B2R8N1	-6	-3	-6	-7	-10	16	nan	0.000	nan	0.00000	*
A8K220	22	22	22	21	21	21	nan	0.000	nan	0.00000	*
A8K2X8	21	21	21	27	27	27	nan	0.000	nan	0.00000	*
A8K3K1	-8	-17	-11	-11	-9	-16	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
A8K4I2	20	20	21	21	21	20	nan	0.000	nan	0.00000	*
Q99615	-10	18	-12	-12	-4	-9	nan	0.000	nan	0.00000	*
B4DSZ4	19	19	19	18	19	19	nan	0.000	nan	0.00000	*
A8K4Z4	17	-15	-13	-9	-14	-20	nan	0.000	nan	0.00000	*
Q59EJ3	20	19	20	19	19	20	nan	0.000	nan	0.00000	*
A8K5T7	-11	-8	-12	-12	-9	-9	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q59EM9	25	25	25	24	24	24	nan	0.000	nan	0.00000	*
Q3ZCU9	-15	-12	-8	-14	-6	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q05D08	19	19	19	-9	-9	-13	nan	0.000	nan	0.00000	*
Q14240-2	20	-3	18	-9	-11	-8	nan	0.000	nan	0.00000	*
Q59HD4	22	23	22	21	21	22	nan	0.000	nan	0.00000	*
Q9UBL6	-7	-13	17	-15	-7	-9	nan	0.000	nan	0.00000	*
Q13561-2	-13	-11	-16	-11	-13	-8	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
A8K9C4	25	25	24	24	24	24	nan	0.000	nan	0.00000	*
A8KAH7	-12	-16	-10	-15	-9	-12	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
A8KAY2	-14	-13	-9	-17	-9	-8	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q9H2G2	19	-8	-6	-12	-12	-12	nan	0.000	nan	0.00000	*
A8MVA2	-10	-14	-5	-11	-9	-13	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
C9JS35	19	19	19	18	18	18	nan	0.000	nan	0.00000	*
A8MXP9	-10	-4	-5	-11	-14	-13	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
C9JE52	21	21	21	20	20	20	nan	0.000	nan	0.00000	*
E7EX29	19	19	19	18	18	19	nan	0.000	nan	0.00000	*
Q13148-2	-9	-8	-12	-4	-13	-14	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P10599	-10	-10	-11	-7	-12	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
B2R4M6	-12	-14	-8	-8	-9	-6	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
B2R4P2	21	21	20	21	-9	20	nan	0.000	nan	0.00000	*
E9PAV3	19	19	19	19	19	-11	nan	0.000	nan	0.00000	*
B2R4R0	-9	20	20	20	21	20	nan	0.000	nan	0.00000	*
B2R4R9	21	21	21	21	20	21	nan	0.000	nan	0.00000	*
B2R4U3	19	19	18	17	17	-9	nan	0.000	nan	0.00000	*
B2R679	23	22	22	22	22	22	nan	0.000	nan	0.00000	*
B2R9K8	20	19	19	27	27	27	nan	0.000	nan	0.00000	*
B2R9U2	-9	-6	-13	-15	-14	-8	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
B2RBR9	18	18	-14	17	17	-8	nan	0.000	nan	0.00000	*
P10809	23	23	23	23	23	23	nan	0.000	nan	0.00000	*
B3KM68	19	19	18	-10	-12	-8	nan	0.000	nan	0.00000	*
B3KNA8	-10	-6	-9	-9	-9	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
B3KUH0	17	17	-8	-8	-3	-6	nan	0.000	nan	0.00000	*
B3KW39	-11	-5	-13	-17	-9	-16	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
E9PDP1	19	19	19	18	18	18	nan	0.000	nan	0.00000	*
P04350	-7	18	19	-12	-12	-7	nan	0.000	nan	0.00000	*
P32119	-12	-14	-12	-9	-6	-9	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q15417	19	19	18	-14	18	19	nan	0.000	nan	0.00000	*
P08238	21	21	21	20	19	20	nan	0.000	nan	0.00000	*
D3DPU2	21	21	21	21	20	21	nan	0.000	nan	0.00000	*
Q53FR9	-9	18	-7	-10	-10	-13	nan	0.000	nan	0.00000	*
P61086	-8	-12	-5	-8	-7	18	nan	0.000	nan	0.00000	*
P17812	-9	-10	-11	-11	-11	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P27348	19	-10	-10	-12	-13	18	nan	0.000	nan	0.00000	*
B5ME63	-5	-9	-8	-9	-6	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q53G16	18	-7	-17	-18	-7	-11	nan	0.000	nan	0.00000	*
E9PCF5	21	20	20	20	20	19	nan	0.000	nan	0.00000	*
Q14103	20	20	20	19	19	20	nan	0.000	nan	0.00000	*
D3DUS9	-16	-14	-4	-12	-10	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
B4DVC9	-11	-11	-13	-9	-7	-9	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
B4DVM6	-10	-7	-12	-6	-8	-14	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P25685	-11	-5	-9	18	-9	-15	nan	0.000	nan	0.00000	*
Q15785	19	19	19	-9	-16	-14	nan	0.000	nan	0.00000	*
B4DZF2	-8	17	-10	-12	-10	-7	nan	0.000	nan	0.00000	*
Q9Y371-2	-2	-7	-7	-14	-7	-5	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q7L2H7	-18	-11	-5	-9	-12	-12	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P28066	-12	-11	16	-2	-14	-8	nan	0.000	nan	0.00000	*
B5BTY7	21	22	21	27	27	27	nan	0.000	nan	0.00000	*
B5BU32	-9	-11	-5	-10	-14	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
B5BU38	21	20	20	18	18	-5	nan	0.000	nan	0.00000	*
Q8N6T3-2	-13	-8	-16	-19	-9	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
E7EQR4	18	18	18	-10	-8	-9	nan	0.000	nan	0.00000	*
B7Z6F8	18	-11	-12	-10	-11	-12	nan	0.000	nan	0.00000	*
B7Z7B4	-7	-5	-8	-14	-15	-3	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q9NVD7	-9	-11	-13	-9	-9	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
E9PAN3	19	19	20	-11	19	19	nan	0.000	nan	0.00000	*
B7ZLS9	-10	-7	-15	-7	-11	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P22626	20	20	18	19	20	19	nan	0.000	nan	0.00000	*
C7DJS2	-9	-9	-8	-8	-10	-12	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q15942	-5	-16	-10	-10	-11	-9	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q9BUL8	-12	-10	-15	-9	-18	-12	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
E9PC16	-8	-13	-13	-13	-15	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
P18085	22	22	22	22	21	22	nan	0.000	nan	0.00000	*
P12318	-7	-12	-9	-14	-12	-11	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
D3DQ70	-12	-7	-17	-5	-8	17	nan	0.000	nan	0.00000	*
Q53F37	-11	-16	-6	-5	-15	-7	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
D6W4Z6	20	20	20	19	19	20	nan	0.000	nan	0.00000	*
P15924	-11	-7	-7	-11	-11	-17	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
E2QRA8	-7	-16	-8	-12	-12	-13	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
E5KN55	-9	-15	-13	-7	-9	-12	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
E7ETK2	-10	-14	-12	-14	-11	-10	1.000	0.000	99999999999998761478523792733256155975845958123520.000	1.00000	
Q8TAT6-2	19	20	18	18	-7	-8	nan	0.000	nan	0.00000	*
Q9H0U4	23	23	23	22	22	22	nan	0.000	nan	0.00000	*
E9KL23	20	-9	-6	19	-15	-9	nan	0.000	nan	0.00000	*
E9KL35	22	22	23	22	22	22	nan	0.000	nan	0.00000	*
E9KL39	23	23	23	22	21	22	nan	0.000	nan	0.00000	*
