LFQ Intensity ec1	LFQ Intensity ec2	LFQ Intensity ec3	LFQ Intensity pc1	LFQ Intensity pc2	LFQ Intensity pc3	MS/MS Count ec1	MS/MS Count ec2	MS/MS Count ec3	MS/MS Count pc1	MS/MS Count pc2	MS/MS Count pc3	Only identified by site	Reverse	Contaminant	Peptides	Razor + unique Peptides	Unique Peptides	Protein IDs	Protein Names	Gene Names
-10.1748	21.57658	-11.79741	21.6756	-13.53891	21.91554	0	1	0	1	0	1				3	3	3	P16104;Q96QV6;A4FTV9;B2R5B3;P04908;P0C0S8;P20671;Q08AJ9;Q6FI13;Q7L7L0;Q93077;Q16777;Q9BTM1;A3KPC7;Q96KK5;Q99878;C9JE22;Q9BTM1-2;B2R5B6;Q8IUE6;P0C0S5;Q71UI9;C9J0D1;A6NN01;B4E0B3;A6NKY0;A6NFA8;C9J386;A8MQC5	Histone H2A.x;Histone H2A type 1-A;Histone H2A/r;Histone H2A;Histone H2A type 1-B/E;Histone H2A.2;Histone H2A/a;Histone H2A/m;Histone H2A type 1;Histone H2A/p;Histone H2A type 1-D;Histone H2A.3;Histone H2A/g;Histone H2A type 2-A;Histone H2A/o;Histone H2A type 3;Histone H2A type 1-C;Histone H2A/l;Histone H2A type 2-C;Histone H2A/q;Histone H2A-GL101;Histone H2A.J;Histone H2A type 1-H;Histone H2A/s;Histone H2A type 1-J;Histone H2A/e;Histone H2A type 2-B;Histone H2A.Z;H2A.F/Z;Histone H2A.V	H2AFX;H2AX;H2AFR;HIST1H2AA;hCG_1640463;hCG_1640467;hCG_1641458;hCG_1643754;hCG_1743060;HIST1H2AG;HIST1H2AI;HIST1H2AK;HIST1H2AL;HIST1H2AM;H2AFA;H2AFM;HIST1H2AB;HIST1H2AE;H2AFC;H2AFD;H2AFI;H2AFN;H2AFP;H2AFG;HIST1H2AD;hCG_1640984;hCG_1787383;H2AFO;HIST2H2AA;HIST2H2AA3;HIST2H2AA4;HIST3H2A;H2AFL;HIST1H2AC;H2AFQ;HIST2H2AC;H2AFJ;hCG_1640359;HIST1H2AH;H2AFE;HIST1H2AJ;HIST2H2AB;H2AFZ;H2AZ;H2AFV;H2AV;hCG_19242
20.84445	20.82648	20.52258	20.91634	21.22588	20.78532	1	2	1	2	3	3				2	2	2	P04406;Q2TSD0;E7EUT4;E7EUT5;Q0QET7;A4UCT1;E7EPW1;Q5ZEY3	Glyceraldehyde-3-phosphate dehydrogenase	CDABP0047;GAPD;GAPDH;OK/SW-cl.12
-10.73202	-11.98464	-10.42344	-7.477787	-14.00278	-11.96467	0	0	0	0	0	0	+			1	1	1	P29590;P29590-7;Q9BZY1;P29590-11;P29590-8;P29590-3;P29590-6;Q15156;P29590-13;P29590-9;P29590-5;E9PG00;P29590-2;P29590-12;Q59H09;P29590-4;A4VCI9;E9PBR7;P29590-10;P29590-14;Q59GQ8;Q05835	Probable transcription factor PML;RING finger protein 71;Tripartite motif-containing protein 19;Tripartite motif protein TRIM19 delta;PML-RAR protein;Promyelocytic leukemia protein isoform 11 variant;PML protein;Promyelocytic leukemia protein isoform 8 variant;Promyelocytic leukemia protein protein	MYL;PML;RNF71;TRIM19;PML-RAR;promyelocytic leukemia protein
21.5695	21.77989	-12.43826	21.44081	21.40561	20.8966	1	2	0	0	1	1				2	2	2	A5JHP3;P81605;Q53YJ2	Dermcidin isoform 2;DCD-1;Dermcidin;Preproteolysin;Survival-promoting peptide;Proteolysis inducing factor	DCD;AIDD;DSEP;hCG_1820620;PIF
-9.716413	-3.583641	-17.64762	-8.342788	-10.27187	-16.43587	0	0	0	0	0	0	+			1	1	1	Q92794;A5PKX7;A5PLL3	Histone acetyltransferase MYST3;Monocytic leukemia zinc finger protein;MOZ, YBF2/SAS3, SAS2 and TIP60 protein 3;Runt-related transcription factor-binding protein 2;Zinc finger protein 220;MYST3 protein	MOZ;MYST3;RUNXBP2;ZNF220
22.25381	22.27523	22.3938	20.48886	20.20729	20.32608	5	5	4	2	2	3				4	4	4	A5YM50;Q15907;Q5U0I1;Q6FHR0;B4DMK0;B4DMN1;Q6FI42;P62491;B4DT13;B4DQU5	RAB11B protein;GTP-binding protein YPT3;Ras-related protein Rab-11B;RAB11B, member RAS oncogene family;cDNA FLJ61134, highly similar to Ras-related protein Rab-11B;cDNA FLJ61136, highly similar to Ras-related protein Rab-11A;Ras-related protein Rab-11A;YL8;cDNA FLJ51542, highly similar to Ras-related protein Rab-11B	RAB11B;YPT3;RAB11;RAB11A
17.14967	-13.14418	-10.14975	-9.094846	-11.56903	-9.011176	1	1	0	0	0	1				1	1	1	Q14315;Q14315-2;E9KL45;P21333;P21333-2;B2ZZ83;Q60FE5;Q60FE6;Q5HY54;O75369;Q60FE7;O75369-2;O75369-3;O75369-6;A6NDY9;B2ZZ80;O75369-4;O75369-5	ABP-280-like protein;ABP-L;Actin-binding-like protein;Filamin-2;Filamin-C;Gamma-filamin;Actin-binding protein 280;Alpha-filamin;Endothelial actin-binding protein;Filamin-1;Filamin-A;Non-muscle filamin;Filamin B;Filamin A;Filamin A, alpha (Actin binding protein 280);ABP-278;ABP-280 homolog;Beta-filamin;Filamin homolog 1;Filamin-3;Filamin-B;Thyroid autoantigen;Truncated actin-binding protein;Putative uncharacterized protein FLNA	ABPL;FLN2;FLNC;FLN;FLN1;FLNA;FLNB;XX-FW83128A1.1-010;FLN1L;FLN3;TABP;TAP
19.60259	20.11426	19.26591	19.04354	18.54808	-15.37007	1	4	0	1	1	1				5	5	5	A6NE09;P08865;C9J9K3;Q96RS2;C9JQR9	Putative uncharacterized protein ENSP00000346598;37 kDa laminin receptor precursor;37/67 kDa laminin receptor;40S ribosomal protein SA;67 kDa laminin receptor;Colon carcinoma laminin-binding protein;Laminin receptor 1;Laminin-binding protein precursor p40;Multidrug resistance-associated protein MGr1-Ag;NEM/1CHD4;Putative uncharacterized protein RPSA;Laminin receptor-like protein LAMRL5	LAMBR;LAMR1;RPSA;LAMR1P15
-11.94525	-10.09451	-13.05105	-8.697504	-3.733516	-15.28478	0	0	1	0	1	0				1	1	1	B4DUT8;Q53GK7;Q6FHC3;Q6FHE4;Q99439;B4DDF4;A6NFI4	cDNA FLJ52765, highly similar to Calponin-2;Calponin 2 isoform a variant;CNN2 protein;Calponin 2;Calponin H2, smooth muscle;Calponin-2;Neutral calponin;cDNA FLJ52469, highly similar to Calponin-2;Calponin 2, isoform CRA_a;cDNA FLJ44427 fis, clone UTERU2007724, highly similar to Homo sapiens calponin 2 (CNN2), transcript variant 2, mRNA;Putative uncharacterized protein CNN2	CNN2;hCG_21577
19.97519	20.10917	19.06863	18.47908	18.01149	18.66837	2	2	1	0	0	0				3	3	3	P30044;A6NG06;B7ZLJ4;P30044-2;A6NC19;B7ZVW3	Alu corepressor 1;Antioxidant enzyme B166;Liver tissue 2D-page spot 71B;Peroxiredoxin V;Peroxiredoxin-5, mitochondrial;Peroxisomal antioxidant enzyme;PLP;Thioredoxin peroxidase PMP20;Thioredoxin reductase;TPx type VI;Putative uncharacterized protein PRDX5;Peroxiredoxin 5	ACR1;PRDX5;SBBI10
